timeframe,n_obs,lag_k,market_y,pearson_r,pearson_p,coint_t,coint_p,coint_crit_1pct,coint_crit_5pct,coint_crit_10pct,adf_resid_stat,adf_resid_p,adf_resid_crit_1pct,adf_resid_crit_5pct,adf_resid_crit_10pct,ols_alpha,ols_beta,n_used,sample_start,sample_end,is_cointegrated_coint_p_5pct,is_cointegrated_adf_p_5pct,evidence_any_5pct
1h,500,3,KRW-CKB,0.562230679380681,5.1756409142485476e-43,-0.6664212279850535,0.9501415575081839,-3.91852234143638,-3.348402090875137,-3.052960322448504,-1.4343477471896613,0.5657031593892763,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,-7.060978246102252,8.912439816525529e-08,494,2025-08-06 07:00:00,2025-08-27 02:00:00,False,False,False
1h,500,5,KRW-CKB,0.5343638790827735,2.9033912307271755e-38,-0.646627449249961,0.9520971864055656,-3.91852234143638,-3.348402090875137,-3.052960322448504,-1.5450726705975149,0.5111085131739371,-3.4436568932270095,-2.8674084917497074,-2.5698956806372832,-6.435285681269491,8.52326527090153e-08,494,2025-08-06 05:00:00,2025-08-27 00:00:00,False,False,False
1h,500,10,KRW-CKB,0.45326757235091425,1.0554547237420574e-26,-0.8024429704447461,0.9343819974201996,-3.91852234143638,-3.348402090875137,-3.052960322448504,-1.7227588327322536,0.41942622863376966,-3.443849184997939,-2.8674931065091105,-2.569940776113236,-4.489356736516868,7.314361339257352e-08,487,2025-08-06 00:00:00,2025-08-26 19:00:00,False,False,False
1d,100,3,KRW-ETH,0.864911489711872,4.259434693580266e-31,-2.992026059478525,0.11211307882834354,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.387608012582243,0.14526454506915287,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-15637239.147376686,0.1303983310704681,99,2025-05-17 00:00:00,2025-08-24 00:00:00,False,False,False
1d,100,5,KRW-ETH,0.8775907215905928,4.677228111737689e-33,-3.308057737117973,0.05363795363146163,-4.010486025915723,-3.398544335271911,-3.087567926742169,-0.6707879703600116,0.8541717263197206,-3.506944401824286,-2.894989819214876,-2.584614550619835,-15776116.179284886,0.13151294052641693,88,2025-05-15 00:00:00,2025-08-22 00:00:00,False,False,False
1d,100,10,KRW-ETH,0.8852396197449418,2.397372843168998e-34,-3.1313749486396802,0.08217337302407085,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.719387111082287,0.07074311476911216,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-15643868.348053211,0.1312484329558587,99,2025-05-10 00:00:00,2025-08-17 00:00:00,False,False,False
1d,100,3,KRW-XRP,0.9198705738512796,1.2789146710227006e-41,-4.754802019838418,0.0004530057816443781,-4.010486025915723,-3.398544335271911,-3.087567926742169,-4.505146061776256,0.00019247234427157705,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-8746.46375731207,8.058430300312669e-05,99,2025-05-17 00:00:00,2025-08-24 00:00:00,True,True,True
1d,100,5,KRW-XRP,0.8960711268531709,2.4365115034675594e-36,-3.9285924940265007,0.009054105439464857,-4.010486025915723,-3.398544335271911,-3.087567926742169,-3.717792761852974,0.003869730912138978,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-8333.513721403484,7.802653302524004e-05,99,2025-05-15 00:00:00,2025-08-22 00:00:00,True,True,True
1d,100,10,KRW-XRP,0.7731876966761827,4.2727120883225074e-21,-2.4893845215191193,0.28377074172176964,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.350382164830816,0.15623291786379584,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-6533.142830314996,6.661032914862162e-05,99,2025-05-10 00:00:00,2025-08-17 00:00:00,False,False,False
1d,100,3,KRW-CRO,0.7920088471832292,1.0041776895644732e-22,-1.8157780989141035,0.6220269103993772,-4.010486025915723,-3.398544335271911,-3.087567926742169,-0.5128952392942637,0.8894754166071865,-3.4989097606014496,-2.891516256916761,-2.5827604414827157,-547.3049117228951,4.592397397058624e-06,98,2025-05-17 00:00:00,2025-08-24 00:00:00,False,False,False
1d,100,5,KRW-CRO,0.8152409225326918,5.536443527772814e-25,-2.718283676000214,0.19307178838720102,-4.010486025915723,-3.398544335271911,-3.087567926742169,-1.652933553131482,0.4555109422319535,-3.5003788874873405,-2.8921519665075235,-2.5830997960069446,-562.4862018982212,4.698632731592203e-06,96,2025-05-15 00:00:00,2025-08-22 00:00:00,False,False,False
1d,100,10,KRW-CRO,0.8731533286419122,2.3963655473146402e-32,-3.3272708997158884,0.05109497370745965,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.5329171723740176,0.10766923526394917,-3.4989097606014496,-2.891516256916761,-2.5827604414827157,-602.0675722524873,4.978893772287527e-06,98,2025-05-10 00:00:00,2025-08-17 00:00:00,False,False,False
1d,100,3,KRW-SOL,0.7862146587951137,3.3166636472596914e-22,-2.318651725081589,0.36428359402912075,-4.010486025915723,-3.398544335271911,-3.087567926742169,-1.7866324678192893,0.38711820638180783,-3.5003788874873405,-2.8921519665075235,-2.5830997960069446,-188212.63785610785,0.0027258923694489655,96,2025-05-17 00:00:00,2025-08-24 00:00:00,False,False,False
1d,100,5,KRW-SOL,0.7851774113665433,4.0916151751235376e-22,-2.6561710944061443,0.21573650406858486,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.475669763977172,0.12150691209141673,-3.5019123847798657,-2.892815255482889,-2.583453861475781,-184464.4479600231,0.0027058982563878137,94,2025-05-15 00:00:00,2025-08-22 00:00:00,False,False,False
1d,100,10,KRW-SOL,0.7382184722067595,1.8949760562079755e-18,-2.953556288027065,0.12166203408993748,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.7728973948891853,0.062250685456815676,-3.498198082189098,-2.891208211860468,-2.5825959973472097,-153688.9817132972,0.0025170126170274455,99,2025-05-10 00:00:00,2025-08-17 00:00:00,False,False,False
1d,100,3,KRW-BERA,0.13033059154515308,0.19620465311051502,-1.7279724819666855,0.6640033577129125,-4.010486025915723,-3.398544335271911,-3.087567926742169,-2.095735662315458,0.24623276692006218,-3.502704609582561,-2.8931578098779522,-2.583636712914788,1467.518873140901,9.976894954947321e-06,93,2025-05-17 00:00:00,2025-08-24 00:00:00,False,False,False
